repo,description,owner,version,wc_url,updated_at,stars,forks,screenshot_url,samplecode_url,supported_browsers,rating,comment
exm-token-input,Polymer paper style token input,exmg,v1.0.16,,2016-11-23 17:14:33,4,1,,,,,
vaadin-text-field,vaadin-text-field is themable HTML input with data binding. Part of Vaadin Core Elements bundle.,vaadin,v1.1.0-alpha2,,2017-06-19 18:16:33,1,4,,,,,
friendly-animation,A Polymer Component that renders After Effects animations in browser as either svg or html canvas animations.,MentallyFriendly,v2.0.8,,2017-07-06 06:25:43,6,0,,,,,
juicy-markdown-editor,GitHub Flavored Markdown (GFM) editor with filedrop and paste functionality,Juicy,1.0.1,,2017-03-06 00:53:28,6,3,,,,,
image-carousel,Polymer element for image carousel,a1626,v1.0.6,,2017-07-05 09:12:07,0,0,,,,,
properties-from-ancestor-behavior,Behavior for a web component to take a property value from the closest ancestor that has it,AqoviaElements,v1.1.0,,2017-06-15 09:04:18,1,1,,,,,
xtal-in,"Emit events with unique, typed names from common input elements",bahrus,0.0.0,,2017-07-04 21:14:01,0,0,,,,,
list-item,ES6 Polymer 2 list item with a skeleton loader,ryanburns23,v2.0.0,,2017-07-05 23:45:17,1,0,,,,,
grain-masonry,,daKmoR,v0.8.2,,2017-05-20 20:25:57,2,0,,,,,
paper-password-input,Material Design input field to enter passwords (Polymer),Collaborne,2.1.0,,2017-06-16 08:02:39,5,4,,,,,
contactlab-ui-components,Basic UI components for ContactLab UX design pattern library,contactlab,v1.3.5,,2017-06-27 15:06:19,22,6,,,,,
firebase-nest,polymerfire based util to construct nested and lookup datastructure,PolymerEl,v0.6.0,,2017-05-03 23:43:59,6,1,,,,,
vaadin-split-layout,vaadin-split-layout is a web component that allows you to partition a layout into resizeable areas,vaadin,v2.0.0,,2017-07-05 11:44:28,15,4,,,,,
vaadin-context-menu,Responsive web component for showing context dependent items for any element on the page. Part of Vaadin Core Elements bundle.,vaadin,v2.0.0,,2017-05-17 13:46:36,10,2,,,,,
xtal-fetch,Polymer based component wrapper around the fetch method.  ,bahrus,0.0.3,,2017-07-03 18:42:21,0,0,,,,,
poly-prep,Helper elements to load polymer elements asynchronously.,bahrus,0.0.9,,2017-06-20 23:52:39,0,0,,,,,
butter-github-star,Butter collection / Number of stars of a Github repository. ,JCrestel,v1.0.1,,2017-07-05 13:28:28,1,0,,,,,
ag-grid-webcomponent,,ceolter,11.0.0,,2017-06-30 15:00:19,0,0,,,,,
paper-datatable-api,A material design implementation of a data table,RoXuS,2.0.5,,2017-07-02 03:52:13,42,7,,,,,
papyrus-input,"A single-line text field web component, with validation and plain styling",AqoviaElements,v1.3.0,,2017-02-24 12:31:07,0,1,,,,,
vaadin-form-layout,Polymer element providing configurable responsive layout for form elements,vaadin,v1.0.0,,2017-06-03 07:17:18,3,2,,,,,
Soundcloud-Player-Element,Soundcloud-Player webcomponent written with Polymer 2.,MaxMommersteeg,1.0.3,,2017-07-03 16:25:36,1,0,,,,,
xtal-json-editor,Polymer web component wrapper around the JSONEditor library,bahrus,0.0.2,,2017-07-02 00:51:11,0,0,,,,,
granite-dynamic-element,A native web component to dynamically generate web components,LostInBrittany,1.0.0,,2017-07-04 09:28:50,0,0,,,,,
titanium-circle-letter-icon,A colored circle with a letter inside.  Great for list items.,LssPolymerElements,2.0.1,,2017-06-28 22:04:41,1,0,,,,,
titanium-letter-selectable-list-item,,LssPolymerElements,1.0.4,,2017-06-30 22:27:18,0,0,,,,,
wordpress-posts,Polymer element to show Wordpress posts,TherapyChat,v1.0.2,,2017-07-04 09:56:32,1,0,,,,,
paper-lightbox,Web component to launch content inside a popup,Redbility,1.1.0,,2017-06-30 13:45:04,1,1,,,,,
paper-bottom-sheet,Web component providing a material design modal bottom sheet (Polymer),Collaborne,2.0.3,,2017-07-03 15:07:20,17,6,,,,,
