repo,description,owner,version,wc_url,updated_at,stars,forks,screenshot_url,samplecode_url,supported_browsers,rating,comment,include,invisible
video-view,"The coponent that play videos from youtube, vimeo, mp4 and webm urls ",Borjagodoy,v0.1.2,,2017-05-19 08:16:15,3,0,,,,,,,
titanium-circle-letter-icon,A colored circle with a letter inside.  Great for list items.,LssPolymerElements,2.0.8,,2017-06-28 22:04:41,1,0,,,,,,,
titanium-letter-selectable-list-item,,LssPolymerElements,1.0.10,,2017-06-30 22:27:18,0,0,,,,,,,
prendus-question-elements,Fully embeddable custom HTML elements for questions made with AssessML.,Prendus,v0.1.6,,2017-07-11 18:02:50,5,0,,,,,,,
titanium-icon-input-container,"A simple way to add an prefixed icon to an input that responds to disabled, focused and invalid states.",LssPolymerElements,2.0.4,,2017-06-28 22:21:51,1,0,,,,,,,
profile-picture,,LssPolymerElements,2.1.8,,2016-11-04 21:37:55,0,0,,,,,,,
cloudinary-img,Polymer cloudinary wrapper,fraed,v1.0.2,,2017-03-29 14:07:29,1,0,,,,,,,
loader-lite,Polymer 2 animated loader element,ryanburns23,v1.0.1,,2017-07-11 20:03:15,1,0,,,,,,,
webrtc-peer,Using peerjs,fernandezpaco,1.0.10,,2016-07-27 16:52:30,0,0,,,,,,,
xtal-fetch,Polymer based component wrapper around the fetch method.  ,bahrus,0.0.6,,2017-07-11 07:02:25,1,0,,,,,,,
io-value,"io-value is an ultra-lightweight editor for primitive data types (string, number, boolean)",arodic,v2.0.4,,2017-07-11 13:30:02,17,7,,,,,,,
poly-prep,Helper elements to load polymer elements asynchronously.,bahrus,0.0.11,,2017-06-20 23:52:39,0,0,,,,,,,
nuxeo-dataviz-elements, Nuxeo Data Visualization web components,nuxeo,v1.1.2,,2017-02-01 09:38:12,0,4,,,,,,,
nuxeo-ui-elements,Library of UI web components,nuxeo,v1.1.2,,2017-06-28 06:12:42,3,4,,,,,,,
nuxeo-elements,Core Nuxeo web components,nuxeo,v1.1.2,,2016-10-24 11:08:21,2,2,,,,,,,
text-toggle,Show one of two strings based on a condition. Clickability optional.,jifalops,0.1.0,,2017-07-11 16:36:54,1,0,,,,,,,
granite-file-saver,A lightweight element to save content to a file on the local filesystem,LostInBrittany,1.1.0,,2017-03-29 20:46:57,2,1,,,,,,,
flowbased-polymer,Do flowbased programming with polymer.,veith,v2.1.3,,2017-07-12 08:59:46,15,3,,,,,,,
polymeraws,Polymer Web Components for AWS,PolymerAWS,v2.1.1,,2017-06-22 19:51:03,15,2,,,,,,,
paper-tags,"paper tags, input tags and paper-tags dropdown for selecting multiple items in a list",PolymerEl,v1.7.2,,2017-06-02 02:12:49,7,7,,,,,,,
vaadin-split-layout,vaadin-split-layout is a web component that allows you to partition a layout into resizeable areas,vaadin,v1.1.0,,2017-07-05 11:44:28,15,4,,,,,,,
google-apis,Web components for loading Google's JavaScript Libraries,GoogleWebComponents,v2.0.0,,2017-07-06 04:15:14,66,51,,,,,,,
count-up,A wrapper component for CountUp.js,kcmr,v0.2.1,,2017-07-10 23:30:56,0,0,,,,,,,
marked-element,Element wrapper for the marked library,PolymerElements,v2.2.0,,2017-06-17 12:00:49,57,22,,,,,,,
polymer-cordova-aware,"Polymer mixin for handling differences between Cordova and ""regular"" environments",Collaborne,2.1.1,,2017-07-10 10:30:11,0,0,,,,,,,
titanium-currency,A polymer element that formats currency.,LssPolymerElements,2.0.3,,2017-06-27 22:16:24,1,0,,,,,,,
watsonlogic-parallax,Polymer 2.0 Parallax Web Component,watsonlogic-software,v0.0.6,,2017-07-12 03:07:22,1,1,,,,,,,
list-item,ES6 Polymer 2 list item with a skeleton loader,ryanburns23,v2.0.4,,2017-07-07 13:07:26,3,0,,,,,,,
paper-weather,☀️🌧  Material design weather element inspired by google weather,ryanburns23,v2.1.2,,2017-07-09 14:38:18,12,3,,,,,,,
device-orientation,Web Components (with Polymer) to detecting device orientation and motion,abdonrd,v0.4.0,,2017-07-11 15:29:12,7,1,,,,,,,
iron-iconset-svg,Represents a source of icons expressed as a collection of inline SVGs,PolymerElements,v2.0.1,,2017-06-29 06:47:53,19,24,,,,,,,
smd-social,A fast way to integrate social buttons into your web app,Soulmatters,1.0.1,,2017-06-18 14:31:03,1,0,,,,,,,
iron-toggle-icon,simple component to toggle between active/inactive state by clicking on icon,PolymerEl,v0.2.4,,2017-07-08 15:02:03,1,0,,,,,,,
br-elements,"Input elements with mask and validation for common brazilian fields such as CPF, CNPJ, CEP, Telephone and Cell Phone.",patriciapds,v1.6.0,,2017-07-05 14:35:42,8,0,,,,,,,
paper-input-place,Google Places Autocomplete,mlisook,1.9.3,,2017-07-09 17:44:26,11,6,,,,,,,
lrnsys-button,"Button with hover, color and icon support",LRNWebComponents,0.0.7,,2017-07-10 02:30:01,0,0,,,,,,,
ga-dnt-analytics,Basic Google Analytics web component with Do Not Track support.,justinribeiro,2.0.1,,2017-05-27 09:43:27,7,0,,,,,,,
polymer-cordova-inappbrowser-html,Web component that opens external links the InAppBrowser (Polymer),Collaborne,2.1.1,,2017-06-16 09:30:18,2,0,,,,,,,
polymer-cordova-keyboard,Web component to control keyboard via Cordova plugin (Polymer),Collaborne,2.1.1,,2017-06-16 09:31:42,0,0,,,,,,,
candy-progress,Polymer element that creates candy progress bar,Collaborne,2.1.1,,2017-07-07 22:06:54,0,0,,,,,,,
