,repo,description,owner,version,wc_url,updated_at,stars,forks,screenshot_url,samplecode_url,supported_browsers,rating,comment,external,status
0,noto-emoji-iconset,Google's Emojis iconset for iron-icon,raulsntos,v0.1.0,,2017-03-26 04:14:36,7,4,,,,,,,
1,fsn-map,,pedro2555,0.1.2,,2017-07-16 01:02:18,0,0,,,,,,,
2,count-up,A wrapper component for CountUp.js,kcmr,v0.2.2,,2017-07-10 23:30:56,0,0,,,,,,,
3,titanium-date-input,A simple auto formatting date input for polymer 2.0,LssPolymerElements,1.0.0,,2017-07-17 22:34:21,0,0,,,,,,,
4,d3-progress-meter,Web component providing a D3 based progress meter (Polymer 1.x),Collaborne,1.1.1,,2017-07-12 12:39:17,10,2,,,,,,,
5,titanium-dependency-injection,Dependency injection for Polymer,LssPolymerElements,2.0.5,,2017-07-13 22:21:12,0,0,,,,,,,
6,lrnsys-layout,Layout items for building interfaces for education,LRNWebComponents,0.1.5,,2017-07-01 05:36:34,0,0,,,,,,,
7,paper-chip,A chip web component made with Polymer 2 following Material Design guidelines,fabbricadigitale,v0.10.1,,2017-07-17 21:42:41,10,4,,,,,,,
8,paper-drawer,A Material Design drawer,Collaborne,2.0.2,,2017-06-30 19:31:29,7,2,,,,,,,
9,iron-timer,A countdown timer (Polymer),Collaborne,2.1.1,,2017-06-16 09:06:20,0,1,,,,,,,
10,xtal-in-hash,Allows location.hash to serve as an input channel for web components,bahrus,0.0.6,,2017-07-12 02:11:06,0,0,,,,,,,
11,polymer-quill,Polymer Quill Rich Text Editor,chuckh,v1.2.6,,2017-07-15 13:22:10,29,14,,,,,,,
12,xtal-chart-istic,Polymer based web component wrapper around the chartist library,bahrus,0.0.4,,2017-07-08 20:53:53,0,0,,,,,,,
13,rsat-popup,A popup component based on web component v1 standards,rohithsathya,0.0.2,,2017-07-15 18:41:19,0,0,,,,,,,
14,cloudinary-img,Polymer cloudinary wrapper,fraed,v2.0.0,,2017-03-29 14:07:29,1,0,,,,,,,
15,good-map,A simple custom element wrapper for Google Maps JavaScript API,keanulee,v0.0.1,,2017-07-15 23:14:02,0,0,,,,,,,
16,improved-print,Turn mid-content hyperlinks into a listed footnote!,pimdewit,1.0.1,,2017-07-16 05:32:06,1,0,,,,,,,
17,iron-graphql,Simple functional Polymer Element for querying GraphQL APIs,wasc-io,1.0.4,,2017-06-30 19:51:55,0,0,,,,,,,
18,page-title,"A Polymer element for easily updating a webpage's title, such as in a SPA.",zacharytamas,v3.0.0,,2017-07-15 22:05:59,12,5,,,,,,,
19,poly-prep,Helper elements to load polymer elements asynchronously.,bahrus,0.0.12,,2017-06-20 23:52:39,0,0,,,,,,,
20,polymer,Build modern apps using web components,Polymer,v2.0.2,,2017-07-18 01:21:05,17966,1789,,,,,,,
21,titanium-icon-input-container,"A simple way to add an prefixed icon to an input that responds to disabled, focused and invalid states.",LssPolymerElements,2.0.5,,2017-06-28 22:21:51,1,0,,,,,,,
22,gif-player,Control your animated GIFs,CaptainCodeman,v0.0.2,,2017-07-18 00:48:10,0,0,,,,,,,
23,paper-input-money,A Polymer 2 input for displaying currency with locale features,unionthugface,v2.1.0,,2017-06-15 22:49:51,2,1,,,,,,,
24,iron-autogrow-textarea,Textarea that grows in height as more lines of input are entered,PolymerElements,v2.0.1,,2017-06-14 11:59:28,11,31,,,,,,,
25,ag-grid-polymer,,ceolter,0.0.9,,2017-07-14 14:09:52,0,0,,,,,,,
26,vaadin-radio-button,Polymer 2 element for customized radio buttons. Part of Vaadin Core Elements bundle.,vaadin,v1.0.0-alpha1,,2017-07-05 13:06:24,0,0,,,,,,,
27,vaadin-button,The Polymer 2 element for customized buttons. Part of Vaadin Core Elements bundle.,vaadin,v1.0.0,,2017-07-01 12:42:12,3,5,,,,,,,
28,vaadin-upload,"vaadin-upload is a Polymer element for uploading multiple files with progress indication, a part of the Vaadin Core Elements",vaadin,v2.0.0,,2017-05-31 03:09:29,63,29,,,,,,,
29,vaadin-split-layout,vaadin-split-layout is a web component that allows you to partition a layout into resizeable areas,vaadin,v2.0.0,,2017-07-14 02:20:13,16,4,,,,,,,
30,vaadin-grid,"vaadin-grid is a free, high quality data grid / data table element, built using Polymer",vaadin,v3.0.0,,2017-07-15 15:08:04,263,105,,,,,,,
31,paper-chip,"Polymer 2.x Chips represent complex entities in small blocks, such as a contact.",ThomasCybulski,2.0.8,,2017-07-17 13:51:22,14,7,,,,,,,
