"cursor","count","results__kind","results__description","results__avatar_url","results__subscribers","results__updated_at","results__repo","results__version","results__stars","results__owner","results__forks","results__dependency_count"
"False:CvIDCq4BCosBgP_-9wWpQITzsf_6jIGcioyLkJLSmpOakpqRi4z_AHRtoKCZi4ygoP8AXZ6Pj5qRmJaRmv8Ac3RtlpGbmof_AF2Nmo-Q_wBzdG2bkJyglpv_AF2NmpudlpOWi4bQj56Pmo3Sk5aYl4udkIf_AHN_jZqbnZaTlouG0I-ej5qN0pOWmJeLnZCH_wD__hAUIQTdBJAdPBsZUABaCwnqSWo-aZWhEBACYPOju8ABEg1Eb2N1bWVudEluZGV4GvkBKEFORCAoSVMgImN1c3RvbWVyX25hbWUiICJhcHBlbmdpbmUiKSAoSVMgImdyb3VwX25hbWUiICJzfmN1c3RvbS1lbGVtZW50cyIpIChJUyAibmFtZXNwYWNlIiAiIikgKElTICJpbmRleF9uYW1lIiAicmVwbyIpIChBTkQgKE9SIChRVCAiZWxlbWVudCIgInJ0ZXh0X2tpbmQiKSAoSVMgInJhdG9tX2tpbmQiICJlbGVtZW50IikpIChPUiAoUVQgImVsZW1lbnQiICJydGV4dF9raW5kIikgKElTICJyYXRvbV9raW5kIiAiZWxlbWVudCIpKSkpOhkKDChOIG9yZGVyX2lkKRABGQAAAAAAAPD_ShkIAToSYnRpX2dlbmVyaWNfc2NvcmVyQOgH","1003","element","Polymer element for image carousel","https://avatars2.githubusercontent.com/u/13940201?v=3","1","2017-07-05T09:12:07Z","image-carousel","v1.0.5","0","a1626","0","4"
"","","element","polymerfire based util to construct nested and lookup datastructure","https://avatars1.githubusercontent.com/u/17042611?v=3","2","2017-05-03T23:43:59Z","firebase-nest","v0.6.0","6","PolymerEl","1","3"
"","","element","vaadin-split-layout is a web component that allows you to partition a layout into resizeable areas","https://avatars1.githubusercontent.com/u/1171922?v=3","10","2017-06-23T03:14:03Z","vaadin-split-layout","v2.0.0","14","vaadin","4","2"
"","","element","Responsive web component for showing context dependent items for any element on the page. Part of Vaadin Core Elements bundle.","https://avatars1.githubusercontent.com/u/1171922?v=3","9","2017-05-17T13:46:36Z","vaadin-context-menu","v2.0.0","10","vaadin","2","3"
"","","element","Polymer based component wrapper around the fetch method.  ","https://avatars0.githubusercontent.com/u/1449290?v=3","1","2017-07-03T18:42:21Z","xtal-fetch","0.0.3","0","bahrus","0","2"
"","","element","Helper elements to load polymer elements asynchronously.","https://avatars0.githubusercontent.com/u/1449290?v=3","1","2017-06-20T23:52:39Z","poly-prep","0.0.9","0","bahrus","0","1"
"","","element","Butter collection / Number of stars of a Github repository. ","https://avatars1.githubusercontent.com/u/7302193?v=3","1","2017-07-04T15:33:24Z","butter-github-star","v1.0.1","0","JCrestel","0","2"
"","","element","null","https://avatars3.githubusercontent.com/u/6539563?v=3","2","2017-06-30T15:00:19Z","ag-grid-webcomponent","11.0.0","0","ceolter","0","0"
"","","element","A material design implementation of a data table","https://avatars2.githubusercontent.com/u/3296671?v=3","4","2017-07-02T03:52:13Z","paper-datatable-api","2.0.5","42","RoXuS","7","11"
"","","element","A single-line text field web component, with validation and plain styling","https://avatars1.githubusercontent.com/u/25458334?v=3","2","2017-02-24T12:31:07Z","papyrus-input","v1.3.0","0","AqoviaElements","1","7"
"","","element","Polymer element providing configurable responsive layout for form elements","https://avatars1.githubusercontent.com/u/1171922?v=3","10","2017-06-03T07:17:18Z","vaadin-form-layout","v1.0.0","3","vaadin","2","3"
"","","element","Behavior for a web component to take a property value from the closest ancestor that has it","https://avatars1.githubusercontent.com/u/25458334?v=3","4","2017-06-15T09:04:18Z","properties-from-ancestor-behavior","v1.0.2","1","AqoviaElements","1","1"
"","","element","Soundcloud-Player webcomponent written with Polymer 2.","https://avatars0.githubusercontent.com/u/9657173?v=3","1","2017-07-03T16:25:36Z","Soundcloud-Player-Element","1.0.3","1","MaxMommersteeg","0","6"
"","","element","Polymer web component wrapper around the JSONEditor library","https://avatars0.githubusercontent.com/u/1449290?v=3","1","2017-07-02T00:51:11Z","xtal-json-editor","0.0.2","0","bahrus","0","2"
"","","element","A native web component to dynamically generate web components","https://avatars3.githubusercontent.com/u/726476?v=3","1","2017-07-04T09:28:50Z","granite-dynamic-element","1.0.0","0","LostInBrittany","0","1"
"","","element","A colored circle with a letter inside.  Great for list items.","https://avatars3.githubusercontent.com/u/23249386?v=3","4","2017-06-28T22:04:41Z","titanium-circle-letter-icon","2.0.1","1","LssPolymerElements","0","2"
"","","element","null","https://avatars3.githubusercontent.com/u/23249386?v=3","5","2017-06-30T22:27:18Z","titanium-letter-selectable-list-item","1.0.4","0","LssPolymerElements","0","7"
"","","element","Polymer element to show Wordpress posts","https://avatars1.githubusercontent.com/u/28624681?v=3","4","2017-07-04T09:56:32Z","wordpress-posts","v1.0.2","1","TherapyChat","0","3"
"","","element","Web component to launch content inside a popup","https://avatars1.githubusercontent.com/u/23503597?v=3","2","2017-06-30T13:45:04Z","paper-lightbox","1.1.0","1","Redbility","1","5"
"False:CoQECsABCp0BgP_-9wWgt9fz2__7jIGcioyLkJLSmpOakpqRi4z_AHRtoKCZi4ygoP8AXZ6Pj5qRmJaRmv8Ac3RtlpGbmof_AF2Nmo-Q_wBzdG2bkJyglpv_AF2ckJOTnp2QjZGa0JaNkJHSlYqMi5aZlpqb0piek5OajYb_AHN_nJCTk56dkI2RmtCWjZCR0pWKjIuWmZaam9KYnpOTmo2G_wD__hAoIQTdBJAdPBsZUABaCwnqSWo-aZWhEBACYPOju8ABEg1Eb2N1bWVudEluZGV4GvkBKEFORCAoSVMgImN1c3RvbWVyX25hbWUiICJhcHBlbmdpbmUiKSAoSVMgImdyb3VwX25hbWUiICJzfmN1c3RvbS1lbGVtZW50cyIpIChJUyAibmFtZXNwYWNlIiAiIikgKElTICJpbmRleF9uYW1lIiAicmVwbyIpIChBTkQgKE9SIChRVCAiZWxlbWVudCIgInJ0ZXh0X2tpbmQiKSAoSVMgInJhdG9tX2tpbmQiICJlbGVtZW50IikpIChPUiAoUVQgImVsZW1lbnQiICJydGV4dF9raW5kIikgKElTICJyYXRvbV9raW5kIiAiZWxlbWVudCIpKSkpOhkKDChOIG9yZGVyX2lkKRABGQAAAAAAAPD_ShkIAToSYnRpX2dlbmVyaWNfc2NvcmVyQOgH","1004","element","A Polymer Component that renders After Effects animations in browser as either svg or html canvas animations.","https://avatars0.githubusercontent.com/u/2574349?v=3","6","2017-07-05T09:45:04Z","friendly-animation","v2.0.7","4","MentallyFriendly","0","2"
"","","element","Web component providing a material design modal bottom sheet (Polymer)","https://avatars1.githubusercontent.com/u/7239008?v=3","6","2017-07-03T15:07:20Z","paper-bottom-sheet","2.0.3","17","Collaborne","6","9"
"","","element","A Material Design item that shows a date and opens a date picker dialog on tap (Polymer)","https://avatars1.githubusercontent.com/u/7239008?v=3","6","2017-06-19T10:02:57Z","paper-date-picker-item","1.7.0","19","Collaborne","10","13"
"","","element","Custom element to choose a color","https://avatars3.githubusercontent.com/u/7557694?v=3","14","2017-02-04T21:30:05Z","juicy-color-picker","2.1.0","1","Juicy","0","0"
"","","element","Dashboard for viewing multiple Uptime-Elements","https://avatars0.githubusercontent.com/u/9657173?v=3","1","2017-07-02T16:02:24Z","Uptime-Element-Dashboard","1.0.1","0","MaxMommersteeg","0","2"
"","","element","Uptime-Element from Monitoring Elements collection.","https://avatars0.githubusercontent.com/u/9657173?v=3","1","2017-07-02T15:10:39Z","Uptime-Element","1.0.3","0","MaxMommersteeg","0","4"
"","","element","mp-calendar is a web components providing calendar date functionality build with Polymer 1.0","https://avatars0.githubusercontent.com/u/117196?v=3","2","2017-06-12T17:51:36Z","mp-calendar","v0.1.6","6","mpachnis","1","2"
"","","element","Custom Element that expands an area when clicked on a handle","https://avatars3.githubusercontent.com/u/7557694?v=3","13","2016-05-24T15:37:23Z","juicy-popover","1.1.0","0","Juicy","1","1"
"","","element","Live Localizer widget for Polymer i18n-behavior","https://avatars3.githubusercontent.com/u/16043714?v=3","2","2017-07-04T11:57:09Z","live-localizer","2.0.1","5","t2ym","1","24"
"","","element","Ништяк","https://avatars0.githubusercontent.com/u/12259854?v=3","1","2017-07-01T22:35:45Z","nishtyak-element","1.0.0","0","tsaiDavid","0","1"
"","","element","null","https://avatars1.githubusercontent.com/u/24378?v=3","1","2017-05-20T20:25:57Z","grain-masonry","v0.8.1","2","daKmoR","0","4"
"","","element","Layout items for building interfaces for education","https://avatars1.githubusercontent.com/u/26451082?v=3","2","2017-07-01T05:36:34Z","lrnsys-layout","0.0.6","0","LRNWebComponents","0","8"
"","","element","A simple mixin builder created to works well as a web components.","https://avatars0.githubusercontent.com/u/7746166?v=3","1","2017-07-01T09:08:52Z","mixin-builder","v0.1.1","0","FlorentinDUBOIS","0","0"
"","","element","Polymer v2 Splashcreen Element","https://avatars0.githubusercontent.com/u/3226725?v=3","1","2017-06-30T10:25:24Z","polymer2-splashscreen","v1.0.0","0","arcoirislabs","0","1"
