,repo,description,owner,version,wc_url,updated_at,stars,forks,screenshot_url,samplecode_url,supported_browsers,rating,comment,external,polymer,status
0,paperfire-html,An element to render html from firebase,PaperfireElements,v1.0.1,,2017-10-01 20:16:25,0,0,,,,,,,,
1,carbon-copy,Copy an HTML template into a DOM node.,bahrus,0.0.17,,2017-08-13 12:39:50,0,0,,,,,,,,
2,code-sample,A wrapper element for highlight.js,kcmr,v0.4.1,,2017-09-29 11:08:47,8,1,,,,,,,,
3,intersection-observer-element,Reflects contained elements visibility in attributes,Glitch0011,v1.0.4,,2017-10-01 17:19:12,1,0,,,,,,,,
4,polymeraws,Polymer Web Components for AWS,PolymerAWS,v3.0.15,,2017-08-10 13:24:27,17,3,,,,,,,,
5,iron-socket-io-client,Polymer element to connect to socket.IO WebSocket,Collaborne,1.1.0,,2017-09-04 09:18:44,0,0,,,,,,,,
6,lrnsys-progress,An interactive widget for visualizing progression through a series of items,LRNWebComponents,1.3.1,,2017-09-28 20:02:28,3,0,,,,,,,,
7,saiku-embed-element,A web component to embed Saiku Analytics using Polymer,OSBI,v1.1.0,,2017-09-29 18:47:30,1,0,,,,,,,,
8,bing-maps-element,Web Component wrapper for Bing Maps using Polymer,brenopolanski,0.1.1,,2015-10-18 21:11:38,2,0,,,,,,,,
9,plastic-image,A Polymer 2.0 element which adds extra plasticity to <iron-image> with support for srcset and  lazy loading,mlisook,1.0.12,,2017-08-30 09:47:43,9,5,,,,,,,,
10,datetime-picker,"A minimal picker for date and time for Polymer, that can use the native input",fooloomanzoo,2.3.8,,2017-10-01 06:40:18,15,5,,,,,,,,
11,input-picker-pattern,A pattern for polymer elements to create a picker for an input,fooloomanzoo,1.0.4,,2017-09-27 15:04:00,0,0,,,,,,,,
12,paypal-express-checkout,Polymer 2 wrapper for the Paypal Express Checkout button,morbidick,0.1.3,,2017-09-22 08:50:08,1,0,,,,,,,,
13,juicy-select,Simple Polymer select element with multiple support,Juicy,1.0.0,,2017-07-31 12:25:25,0,0,,,,,,,,
14,color-picker,"A picker for color, that can use the native input",fooloomanzoo,1.0.4,,2017-09-29 08:33:44,1,0,,,,,,,,
15,game-card,playing game card element based on ES6 and Polymer 2.0,vpusher,v1.0.6,,2017-09-14 09:45:38,29,8,,,,,,,,
16,the-grid,Grid layout custom element with drag and drop capabilities,vpusher,v1.4.0,,2017-09-28 08:52:22,60,10,,,,,,,,
17,number-input,input for numeric values,fooloomanzoo,1.1.8,,2017-09-26 21:09:24,1,0,,,,,,,,
18,titanium-letter-selectable-list-item,,LssPolymerElements,2.0.11,,2017-06-30 22:27:18,0,0,,,,,,,,
19,app-layout,App layout elements,PolymerElements,v2.0.2,,2017-09-29 13:22:43,439,278,,,,,,,,
20,polymer,Build modern apps using web components,Polymer,v2.1.1,,2017-10-02 02:38:46,18509,1848,,,,,,,,
21,awesome-explosion,An amazing awesome explosion as a single tag. This is a silly example element,LRNWebComponents,1.0.3,,2017-09-30 02:04:29,2,0,,,,,,,,
22,icons,"SVGs, Polymer web components and SASS mixins for D2L icons",BrightspaceUI,v4.4.2,,2017-09-07 20:20:06,2,18,,,,,,,,
23,vega-element,A PolymerJS custom element (based on Vega) for rendering interactive data visualization.,PolymerVis,2.0.1,,2017-09-29 02:10:14,2,0,,,,,,,,
24,three-polymer,Polymer element for reusable three.js geometry rendering and contouring,lakopite,v0.2.0,,2017-09-28 10:43:43,1,0,,,,,,,,
25,udes-language-mixin,A simple mixin to be aware of the current language application,UdeSElements,v2.2.0,,2017-09-27 16:42:27,1,0,,,,,,,,
26,range-datepicker,range-datepicker provides a simple datepicker with range (see demo),RoXuS,0.0.14,,2017-09-23 07:12:17,14,3,,,,,,,,
27,vaadin-text-field,vaadin-text-field is a themable Polymer 2 element providing input controls. Part of Vaadin Core Elements bundle.,vaadin,v1.1.0-beta1,,2017-09-27 15:20:17,5,6,,,,,,,,
28,vaadin-checkbox,Polymer 2 element for customized checkboxes. Part of Vaadin Core Elements bundle.,vaadin,v1.0.0-beta1,,2017-08-31 14:03:16,2,2,,,,,,,,
29,vaadin-dialog,Polymer 2 element for customized dialogs. Part of Vaadin Core Elements bundle.,vaadin,v1.0.0-beta1,,2017-09-26 13:16:17,2,0,,,,,,,,
30,mmpc-spironame,MMPC Element for Drawer Header that carries the photo and name,mmpcElements,v0.2.0,,2017-09-26 07:30:08,0,0,,,,,,,,
31,juicy-html,A custom element that lets you load HTML partials into your Web page. Declarative way for client-side includes.,Juicy,2.0.0,,2017-09-30 14:01:40,44,7,,,,,,,,
32,gold-phone-input,An input element that only allows phone numbers,PolymerElements,v2.0.2,,2017-08-16 01:13:35,11,30,,,,,,,,
33,cosmoz-bottom-bar,A responsive bottom-bar that dynamically displays action buttons and menu,Neovici,v2.0.0,,2017-09-26 19:24:57,2,2,,,,,,,,
34,vaadin-upload,"vaadin-upload is a Polymer element for uploading multiple files with progress indication, a part of the Vaadin Core Elements",vaadin,v2.1.2,,2017-09-25 22:53:00,71,50,,,,,,,,
35,vaadin-radio-button,Polymer 2 element for customized radio buttons. Part of Vaadin Core Elements bundle.,vaadin,v1.0.0-alpha3,,2017-08-31 14:07:46,1,2,,,,,,,,
36,vaadin-progress-bar,Polymer 2 element for customized progress bars. Part of Vaadin Core Elements bundle.,vaadin,v1.0.0-alpha3,,2017-08-31 14:05:39,0,1,,,,,,,,
37,vaadin-icons,Vaadin Icons is a collection of 600+ unique icons designed for web applications,vaadin,v4.1.2,,2017-09-27 15:20:40,35,11,,,,,,,,
38,vaadin-form-layout,Polymer element providing configurable responsive layout for form elements,vaadin,v1.0.3,,2017-09-12 11:37:39,4,1,,,,,,,,
